"kldb_tool_mit_anfniveau","isco_tool_mit_anfniveau","kldb_tool_vorlaufig","isco_tool_vorlaufig","kldb_infas_num","isco_infas_num","kldb_infas_str","isco_infas_str","res1_kldb","res2_kldb","res3_kldb","res1_isco","res2_isco","res3_isco","kldb_tool_1st","res1_kldb_1st","res2_kldb_1st","isco_tool_1st","res1_isco_1st","res2_isco_1st","item_id"
"81883","2433","81883","2433",81883,2433,"[81883] Pharmazie (s.s.T.) - Spezialist","[2433] Akademische und vergleichbare Fachkräfte im Bereich Vertrieb (Technik und Medizin, ohne Informations- und Kommunikationstechnologie)","81883","81883",NA,"2433","2433",NA,8,8,8,2,2,2,1
"52112","8322","52112","8322",52112,8322,"[52112] Berufskraftfahrer(Pers./PKW.)-Fachkraft","[8322] Personenkraftwagen-, Taxi-, Kleintransporter- und Kleinbusfahrer","52112","52112",NA,"8322","8322",NA,5,5,5,8,8,8,2
"NA","NA","NA","NA",83131,3412,"[83131] Heilerziehungspflege, Sonderpaed. -Helfer","[3412] Nicht akademische sozialpflegerische Fachkräfte","83131","83131",NA,"3412","3412",NA,NA,8,8,NA,3,3,3
"23411","9329","23411","9329",23412,7322,"[23412] Drucktechnik - Fachkraft","[7322] Drucker","23411","23411",NA,"7322","7322",NA,2,2,2,9,7,7,4
"72134","2412","72134","2412",72132,4312,"[72132] Versicherungskaufleute - Fachkraft","[4312] Bürokräfte in der Statistik, im Finanz- und Versicherungswesen","72132","72132",NA,"4312","4312",NA,7,7,7,2,4,4,5
"25104","2144","25104","2144",27224,2144,"[27224] Konstruktion und Geraetebau - Experte","[2144] Maschinenbauingenieure","27224","27224",NA,"2149","2144",2144,2,2,2,2,2,2,6
"71402","4110","71402","4110",71402,4120,"[71402] Buero-,Sekretariatskraefte(o.S.)-Fachkraft","[4120] Sekretariatskräfte (allgemein)","71402","71402",NA,"3343, 4120","4120",4120,7,7,7,4,3,4,7
"NA","NA","NA","NA",24593,3122,"[24593] Aufsicht - Feinwerk- u. Werkzeugtechnik","[3122] Produktionsleiter bei der Herstellung von Waren","24523","24593",24593,"3122","3122",NA,NA,2,2,NA,3,3,8
NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,"","",NA,NA,NA,NA,NA,NA,NA,9
NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,"","",NA,NA,NA,NA,NA,NA,NA,10
"61282","4419","61282","4419",61212,3322,"[61212] Kaufleute Gross-, Aussenhandel - Fachkraft","[3322] Vertriebsagenten","61212","61212",NA,"3320, 3322","3322",3322,6,6,6,4,3,3,11
"32264","2142","32264","2142",31194,1120,"[31194] Fuehrung-Bauplan.,-ueberwach., Architektur","[1120] Geschäftsführer und Vorstände","31194","31194",NA,"1323, 3123","1323",1323,3,3,3,2,1,1,12
"27393","3122","27393","3122",71384,2421,"[71384] Unternehmensorg.,-strategie(ssT)-Experte","[2421] Akademische und vergleichbare Fachkräfte im Bereich Management- und Organisationsanalyse","71384","27184, 71384",71384,"2421","2421",NA,2,7,2,3,2,2,13
"84114","2341","84114","2341",84114,2341,"[84114] Lehrkraefte in der Primarstufe - Experte","[2341] Lehrkräfte im Primarbereich","84114","84114",NA,"2341","2341",NA,8,8,8,2,2,2,14
"72194","1346","72194","1346",72194,1346,"[72194] Fuehrung-Versicherung-,Finanzdienstleist.","[1346] Führungskräfte auf Filialebene in der Erbringung von Finanz- und Versicherungsdienstleistungen","72112, 72194","72194",72194,"1346","1346",NA,7,7,7,1,1,1,15
"73254","2619","73253","3411",73253,2619,"[73253] Justizverwaltung - Spezialist","[2619] Juristen, anderweitig nicht genannt","73253","73253",NA,"2619","2619",NA,7,7,7,2,2,2,16
"NA","NA","NA","NA",72113,3312,"[72113] Bankkaufleute - Spezialist","[3312] Kreditsachbearbeiter","72113","72113",NA,"3312, 3311","3312",3312,NA,7,7,NA,3,3,17
"84124","2330","84124","2330",84124,2330,"[84124] Lehrkraefte in d. Sekundarstufe - Experte","[2330] Lehrkräfte im Sekundarbereich","84124","84124",NA,"2330","2330",NA,8,8,8,2,2,2,18
"Code liegt für gewähltes AnfNiveau nicht vor / manuell prüfen","Code liegt für gewähltes AnfNiveau nicht vor / manuell prüfen","92113","2431",92194,1221,"[92194] Fuehrung - Werbung und Marketing","[1221] Führungskräfte in Vertrieb und Marketing","92113, 92194","92194",92194,"1221, 1222","2431, 4419",1221,NA,9,9,NA,1,2,19
"71393","3341","71393","3341",71394,1213,"[71394] Fuehrung - Unternehmensorg., -strategie","[1213] Führungskräfte in Unternehmenspolitik und -planung","72144, 72194","71394",71394,"2100","2100",NA,7,7,7,3,2,2,20
"25103","3115","25104","2144",25133,3115,"[25133] TechServicekr.Wartung,Instand-Spezialist","[3115] Maschinenbautechniker","25103, 27303","27303",27303,"3119","3115",3115,2,2,2,3,3,3,21
"73134","2611","73134","2611",73134,2611,"[73134] Rechtsanwaelte/-anwaeltinnen - Experte","[2611] Anwälte","73134","73134",NA,"2611","2611",NA,7,7,7,2,2,2,22
"72212","4311","72212","4311",72213,4311,"[72213] Buchhaltung - Spezialist","[4311] Bürokräfte im Rechnungswesen und in der Buchhaltung","72213","72212",72213,"4311","4311",NA,7,7,7,4,4,4,23
"29394","1412","29394","1412",29394,3434,"[29394] Fuehrung - Speisenzubereitung","[3434] Küchenchefs","29394","29394",NA,"3434","3434",NA,2,2,2,1,3,3,24
"71403","3343","71403","3343",71402,4120,"[71402] Buero-,Sekretariatskraefte(o.S.)-Fachkraft","[4120] Sekretariatskräfte (allgemein)","72132","71402, 72132",71403,"3343","4110",4110,7,7,7,3,3,4,25
"31194","1323","31194","1323",31114,2161,"[31114] Architektur - Experte","[2161] Architekten","31114","31114",NA,"2161","2161",NA,3,3,3,1,2,2,26
"51311","9333","51311","9333",51311,9333,"[51311] Lagerwirtschaft - Helfer","[9333] Frachtarbeiter und verwandte Berufe","51311","51311",NA,"9333","9333",NA,5,5,5,9,9,9,27
"NA","NA","NA","NA",72112,4312,"[72112] Bankkaufleute - Fachkraft","[4312] Bürokräfte in der Statistik, im Finanz- und Versicherungswesen","72112","72112",NA,"4211, 4312","4312, 4416",4312,NA,7,7,NA,4,4,28
"83124","2635","83124","2635",83124,2635,"[83124] Sozialarbeit, Sozialpaedagogik - Experte","[2635] Sozialarbeiter","83124","83124",NA,"2635","2635",NA,8,8,8,2,2,2,29
"84214","2320","84214","2320",84214,2320,"[84214] Lehrkraefte berufsbildende Faecher-Experte","[2320] Lehrkräfte im Bereich Berufsbildung","84214","84214",NA,"2320","2320",NA,8,8,8,2,2,2,30
"NA","NA","NA","NA",82322,5142,"[82322] Kosmetik - Fachkraft","[5142] Kosmetiker und verwandte Berufe","-5","82322",82322,"5142","5142",NA,NA,NA,8,NA,5,5,31
"NA","NA","NA","NA",62512,5223,"[62512] Buchhandel - Fachkraft","[5223] Verkäufer und Verkaufshilfskräfte in Handelsgeschäften","62102","62102, 23422",62512,"7323, 5223","5223",5223,NA,6,6,NA,7,5,32
"NA","NA","NA","NA",43233,2511,"[43233] IT-Vertrieb - Spezialist","[2511] Systemanalytiker","43323","43224",43233,"2434, 3322","2500",2512,NA,4,4,NA,2,2,33
"NA","NA","NA","NA",-5,4,"[-5] Nicht codierbar","[4] nicht codierbar","-5","-5",NA,"4","1120, 4",4,NA,NA,NA,NA,4,1,34
"NA","NA","NA","NA",71304,2631,"[71304] Kaufm.,tech.Betriebswirtsch.(oS)-Experte","[2631] Volkswirtschaftler","71304","71304",NA,"2421","2631",2631,NA,7,7,NA,2,2,35
"NA","NA","NA","NA",61123,3322,"[61123] Vertrieb (ausser IKT) - Spezialist","[3322] Vertriebsagenten","61123","61123",NA,"3322, 2433","3322",3322,NA,6,6,NA,3,3,36
"NA","NA","NA","NA",83132,3412,"[83132] Heilerziehungspflege,Sonderpaed-Fachkraft","[3412] Nicht akademische sozialpflegerische Fachkräfte","83132","83132",NA,"3412","3412",NA,NA,8,8,NA,3,3,37
"NA","NA","NA","NA",34212,7126,"[34212] Sanitaer,Heizung,Klimatechnik - Fachkraft","[7126] Bauspengler und Sanitär- und Heizungsinstallateure","34212","34212",NA,"7126","7126",NA,NA,3,3,NA,7,7,38
"23322","3431","23322","3431",23312,8132,"[23312] Fototechnik - Fachkraft","[8132] Bediener von Anlagen für fotografische Erzeugnisse","23312","23312",NA,"8132","8132",NA,2,2,2,3,8,8,39
"83112","2342","83112","2342",83112,2342,"[83112] Kinderbetreuung, -erziehung - Fachkraft","[2342] Lehrkräfte und Erzieher im Vorschulbereich","83112","83112",NA,"2342","2342",NA,8,8,8,2,2,2,40
"NA","NA","NA","NA",53212,5412,"[53212] Polizeivollzugsdienst - Fachkraft","[5412] Polizisten (ohne Polizeikommissare)","53242","53242",NA,"5412","5419",5412,NA,5,5,NA,5,5,41
NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,"","",NA,NA,NA,NA,NA,NA,NA,42
"72132","3315","72132","3321",72132,4312,"[72132] Versicherungskaufleute - Fachkraft","[4312] Bürokräfte in der Statistik, im Finanz- und Versicherungswesen","72132","72132",NA,"4312, 3321","4312",4312,7,7,7,3,4,4,43
"84124","2330","84124","2330",84124,2330,"[84124] Lehrkraefte in d. Sekundarstufe - Experte","[2330] Lehrkräfte im Sekundarbereich","84124","84124",NA,"2300, 2330","2330",2330,8,8,8,2,2,2,44
"NA","NA","NA","NA",6,6,"[6] Hausfrau","[6] Hausfrau","6, 83111","6, 83112",6,"6","6",NA,NA,6,6,NA,6,6,45
"34213","3112","34293","3123",34293,7126,"[34293] Aufsicht-Klemp.Sanitaer,Heizung,Klimatech","[7126] Bauspengler und Sanitär- und Heizungsinstallateure","34213","34293",34293,"7126","7126",NA,3,3,3,3,7,7,46
"Code liegt für gewähltes AnfNiveau nicht vor / manuell prüfen","Code liegt für gewähltes AnfNiveau nicht vor / manuell prüfen","73202","3354",73183,2619,"[73183] Rechtsber.,sprech.,ordn.(ssT)-Spezialist","[2619] Juristen, anderweitig nicht genannt","73183","73183",NA,"3411","3350",2619,NA,7,7,NA,3,3,47
"NA","NA","NA","NA",61394,1120,"[61394] Fuehrung-Immobilienwirt., Facility-Manag.","[1120] Geschäftsführer und Vorstände","61312","61394",61394,"1219","1349",1120,NA,6,6,NA,1,1,48
"NA","NA","NA","NA",25122,8100,"[25122] Maschinen-, Anlagenfuehrer - Fachkraft","[8100] Bediener stationärer Anlagen und Maschinen","25122","25122",NA,"8100","8100",NA,NA,2,2,NA,8,8,49
"31104","2142","31104","2142",31104,2142,"[31104] Bauplanung, -ueberwachung (oS) - Experte","[2142] Bauingenieure","31104","31104",NA,"2142","2142",NA,3,3,3,2,2,2,50
"84183","5312","84183","5312",84183,5312,"[84183] Lehrkraefte allg. Schule (ssT)-Spezialist","[5312] Lernbetreuer","84183","84183",NA,"5312, 2359","5312",5312,8,8,8,5,5,5,51
"71324","2421","71324","2421",71324,2421,"[71324] Unternehmensberatung - Experte","[2421] Akademische und vergleichbare Fachkräfte im Bereich Management- und Organisationsanalyse","71324","71324",NA,"2421, 3300","2421",2421,7,7,7,2,2,2,52
"NA","NA","NA","NA",72194,1346,"[72194] Fuehrung-Versicherung-,Finanzdienstleist.","[1346] Führungskräfte auf Filialebene in der Erbringung von Finanz- und Versicherungsdienstleistungen","72194","72194",NA,"1346","1346",NA,NA,7,7,NA,1,1,53
"81302","3221","81313","3221",81302,3221,"[81302] Gesundheits-,Krankenpflege(oS)-Fachkraft","[3221] Nicht akademische Krankenpflegefachkräfte","81302","81302",NA,"3221","3221",NA,8,8,8,3,3,3,54
"71314","2421","71314","2421",71324,2421,"[71324] Unternehmensberatung - Experte","[2421] Akademische und vergleichbare Fachkräfte im Bereich Management- und Organisationsanalyse","71324","71324",NA,"2421, 3300","2421",2421,7,7,7,2,2,2,55
"NA","NA","NA","NA",71442,4413,"[71442] Kodierer, Korrekturleser - Fachkraft","[4413] Kodierer, Korrekturleser und verwandte Bürokräfte","43423","71442",71442,"4413","4413",NA,NA,4,7,NA,4,4,56
"NA","NA","NA","NA",32201,9312,"[32201] Tiefbau (o.S.) - Helfer","[9312] Hilfsarbeiter im Tiefbau","24201","24201",NA,"9310","9310",NA,NA,2,2,NA,9,9,57
"NA","NA","NA","NA",84454,2353,"[84454] (Fremd-)Sprachenlehrer/innen - Experte","[2353] Sonstige Sprachlehrer","84214, 84454","84214",84454,"2353","2320, 2353",2353,NA,8,8,NA,2,2,58
"26304","2151","26303","3113",26234,2151,"[26234] Energie-, Kraftwerkstechnik - Experte","[2151] Ingenieure im Bereich Elektrotechnik","26234","26234",NA,"2151","2151",NA,2,2,2,2,2,2,59
"71224","1114","71224","1114",71104,1120,"[71104] Geschaeftsfuehrer und Vorstaende - Experte","[1120] Geschäftsführer und Vorstände","71104","71104",NA,"1120","1120",NA,7,7,7,1,1,1,60
"84124","2330","84124","2330",84124,2330,"[84124] Lehrkraefte in d. Sekundarstufe - Experte","[2330] Lehrkräfte im Sekundarbereich","84124","84124",NA,"2330","2330",NA,8,8,8,2,2,2,61
"51622","4323","51622","4323",51622,4323,"[51622] Speditions-,Logistikkaufleute-Fachkraft","[4323] Bürokräfte in der Transportwirtschaft und verwandte Berufe","51622","51622",NA,"4323","4323",NA,5,5,5,4,4,4,62
"NA","NA","NA","NA",63293,5151,"[63293] Aufsicht - Hotellerie","[5151] Reinigungs- und Hauswirtschaftsleiter in Büros, Hotels und anderen Einrichtungen","63213","63293",63213,"3343","3341",5151,NA,6,6,NA,3,3,63
"84124","2330","84124","2330",84124,2330,"[84124] Lehrkraefte in d. Sekundarstufe - Experte","[2330] Lehrkräfte im Sekundarbereich","84124","84124",NA,"2300, 2330","2330",2330,8,8,8,2,2,2,64
"NA","NA","NA","NA",83323,3413,"[83323] Gemeindearbeit - Spezialist","[3413] Ordensbrüder/-schwestern und Seelsorgehelfer","83323","83323",NA,"3413","3413",NA,NA,8,8,NA,3,3,65
"NA","NA","NA","NA",43394,1330,"[43394] Fuehrung-IT-Netzw.,-Koord.,-Admin.,-Orga.","[1330] Führungskräfte in der Erbringung von Dienstleistungen im Bereich Informations- und Kommunikationstechnologie","43394","43394",NA,"1330","1330",NA,NA,4,4,NA,1,1,66
