"laufindexFolge";"id";"questionNumber";"typ";"fragetextAktuellerBeruf";"fragetextVergangenerBeruf";"antwort.pos";"antwort.text";"antwort.kldb";"antwort.isco";"followUp"
1;"1004";1;"anforderungsniveau";"Ist für Ihre Tätigkeit in der Regel eine abgeschlossene Berufsausbildung erforderlich?";"War für diese Tätigkeit in der Regel eine abgeschlossene Berufsausbildung erforderlich?";"";"";"";"";""
2;"1004";1;"";"";"";"1";"Ja";"51322";"4412";NA
3;"1004";1;"";"";"";"2";"Nein";"51321";"9621";NA
4;"1005";1;"aufsicht";"Sind Sie befugt strategische Entscheidungen zu treffen, z.B. zur Einführung neuer Verfahren, zu finanziellen Investitionen oder zur Einstellung und Entlassung von Personal?";"Waren Sie befugt strategische Entscheidungen zu treffen, z.B. zur Einführung neuer Verfahren, zu finanziellen Investitionen oder zur Einstellung und Entlassung von Personal?";"";"";"";"";""
5;"1005";1;"";"";"";"1";"Ja";"51394";"1324";NA
6;"1005";1;"";"";"";"2";"Nein";"51393";"4321";NA
7;"1012";1;"sonstige";"Schließt Ihre Arbeit auch die Haltung und Zucht von Tieren mit ein?";"Hat Ihre Arbeit auch die Haltung und Zucht von Tieren mit eingeschlossen?";"";"";"";"";""
8;"1012";1;"";"";"";"1";"Ja";"11102";"6130";NA
9;"1012";1;"";"";"";"2";"Nein";"11102";"6111";NA
10;"1014";1;"anforderungsniveau";"Ist für Ihre Tätigkeit in der Regel ein abgeschlossenes Masterstudium erforderlich?";"War für diese Tätigkeit in der Regel ein abgeschlossenes Masterstudium erforderlich?";"";"";"";"";""
11;"1014";1;"";"";"";"1";"Ja";"11104";"2132";NA
12;"1014";1;"";"";"";"2";"Nein";"11103";"2132";NA
13;"1015";1;"anforderungsniveau";"Ist für Ihre Tätigkeit ein abgeschlossenes Masterstudium erforderlich?";"War für diese Tätigkeit ein abgeschlossenes Masterstudium erforderlich?";"";"";"";"";""
14;"1015";1;"";"";"";"1";"Ja";"11104";"2132";NA
15;"1015";1;"";"";"";"2";"Nein";"11103";"2132";NA
16;"1024";1;"anforderungsniveau";"Ist für Ihre Tätigkeit in der Regel eine berufliche Weiterbildung erforderlich?";"War für diese Tätigkeit in der Regel eine berufliche Weiterbildung erforderlich?";"";"";"";"";""
17;"1024";1;"";"";"";"1";"Nein";"11132";"3142";NA
18;"1024";1;"";"";"";"2";"Ja";"11133";"3142";NA
19;"1038";1;"sonstige";"Beinhaltet ihre Tätigkeit die Ausbildung von Reitern?";"Hat ihre Tätigkeit die Ausbildung von Reitern beinhaltet?";"";"";"";"";""
20;"1038";1;"";"";"";"1";"Nein";"11322";"5164";NA
21;"1038";1;"";"";"";"2";"Ja";"11322";"3423";NA
22;"1047";1;"sonstige";"Mit welchen Tieren arbeiten Sie?";"Mit welchen Tieren haben Sie gearbeitet?";"";"";"";"";""
23;"1047";1;"";"";"";"1";"Nutztieren";"11512";"5164";NA
24;"1047";1;"";"";"";"2";"Haus- oder Zootieren";"11522";"5164";NA
25;"1047";1;"";"";"";"3";"Keine der obigen Antworten trifft zu";"11502";"5164";NA
26;"1054";1;"sonstige";"Mit welchen Pflanzen arbeiten Sie?";"Mit welchen Pflanzen haben Sie gearbeitet?";"";"";"";"";""
27;"1054";1;"";"";"";"1";"Bäumen und Sträuchern";"12102";"6112";NA
28;"1054";1;"";"";"";"2";"Nutzpflanzen";"12102";"6111";NA
29;"1054";1;"";"";"";"3";"allgemein mit Pflanzen und Saatgut";"12102";"6113";NA
30;"1066";1;"anforderungsniveau";"Ist für Ihre Tätigkeit in der Regel eine berufliche Weiterbildung erforderlich?";"War für diese Tätigkeit in der Regel eine berufliche Weiterbildung erforderlich?";"";"";"";"";""
31;"1066";1;"";"";"";"1";"Ja";"12143";"6113";NA
32;"1066";1;"";"";"";"2";"Nein";"12142";"6113";NA
33;"1100";1;"sonstige";"Mit welchem Sprachraum beschäftigen Sie sich in Ihrer Arbeit?";"Mit welchem Sprachraum haben Sie sich in Ihrer Arbeit beschäftigt?";"";"";"";"";""
34;"1100";1;"";"";"";"1";"Germanistik";"91114";"2643";NA
35;"1100";1;"";"";"";"2";"Anglistik/Amerikanistik";"91124";"2643";NA
36;"1100";1;"";"";"";"3";"Romanistik";"91134";"2643";NA
37;"1100";1;"";"";"";"4";"Slawistik";"91144";"2643";NA
38;"1100";1;"";"";"";"5";"Arabistik und Orientalistik";"91154";"2643";NA
39;"1100";1;"";"";"";"6";"Mit dem asiatischen Raum";"91164";"2643";NA
40;"1100";1;"";"";"";"7";"Altphilologie und/oder Neogriechisch";"91174";"2643";NA
41;"1100";1;"";"";"";"8";"Es handelt sich um einen anderen spezifischen Sprachraum (z.B. Skandinavistik)";"91184";"2643";NA
42;"1100";1;"";"";"";"9";"Mehr als eine Antwort trifft zu";"91104";"2643";NA
43;"1206";1;"sonstige";"Wen begleiten Sie mit dem Klavier?";"Wen haben Sie mit dem Klavier begleitet?";"";"";"";"";""
44;"1206";1;"";"";"";"1";"Tänzer/innen";"94184";"2653";NA
45;"1206";1;"";"";"";"2";"Sänger/innen oder ähnliches";"94184";"2652";NA
46;"1227";1;"anforderungsniveau";"Ist für Ihre Tätigkeit in der Regel abgeschlossenes Masterstudium erforderlich?";"War für diese Tätigkeit in der Regel abgeschlossenes Masterstudium erforderlich?";"";"";"";"";""
47;"1227";1;"";"";"";"1";"Ja";"94404";"2654";NA
48;"1227";1;"";"";"";"2";"Nein";"94403";"3435";NA
49;"1235";1;"anforderungsniveau";"Ist für Ihre Tätigkeit in der Regel ein abgeschlossenes Masterstudium erforderlich?";"War für diese Tätigkeit in der Regel ein abgeschlossenes Masterstudium erforderlich?";"";"";"";"";""
50;"1235";1;"";"";"";"1";"Ja";"94514";"2149";NA
51;"1235";1;"";"";"";"2";"Nein";"94513";"2149";NA
52;"1240";1;"aufsicht";"Sind Sie befugt strategische Entscheidungen zu treffen, z.B. zur Einführung neuer Verfahren, zu finanziellen Investitionen oder zur Einstellung und Entlassung von Personal?";"Waren Sie befugt strategische Entscheidungen zu treffen, z.B. zur Einführung neuer Verfahren, zu finanziellen Investitionen oder zur Einstellung und Entlassung von Personal?";"";"";"";"";""
53;"1240";1;"";"";"";"1";"Ja";"94494";"1431";NA
54;"1240";1;"";"";"";"2";"Nein";"94493";"2654";NA
55;"1246";1;"anforderungsniveau";"Welche Art von Ausbildung ist für Ihre Tätigkeit in der Regel erforderlich?";"Welche Art von Ausbildung war für diese Tätigkeit in der Regel erforderlich?";"";"";"";"";""
56;"1246";1;"";"";"";"1";"eine abgeschlossene Berufsausbildung";"94532";"3521";NA
57;"1246";1;"";"";"";"2";"eine vertiefende berufliche Weiterbildung mit Mindestdauer von 18 Monaten";"94533";"3521";NA
58;"1246";1;"";"";"";"3";"ein abgeschlossenes Bachelorstudium im Bereich Film- und Fernsehproduktion oder einem verwandten Fach";"94533";"3521";NA
59;"1246";1;"";"";"";"4";"ein abgeschlossenes Masterstudium im Bereich Film- und Fernsehproduktion oder einem verwandten Fach";"94534";"3521";NA
60;"1249";1;"anforderungsniveau";"Welche Art von Ausbildung ist für Ihre Tätigkeit in der Regel erforderlich?";"Welche Art von Ausbildung war für diese Tätigkeit in der Regel erforderlich?";"";"";"";"";""
61;"1249";1;"";"";"";"1";"eine abgeschlossene Berufsausbildung";"94612";"3435";NA
62;"1249";1;"";"";"";"2";"eine vertiefende berufliche Weiterbildung mit Mindestdauer von 18 Monaten";"94613";"3435";NA
63;"1249";1;"";"";"";"3";"ein abgeschlossenes Bachelorstudium im Bereich Bühnen- und Kostümbild oder einem verwandten Fach";"94613";"3435";NA
64;"1249";1;"";"";"";"4";"ein abgeschlossenes Masterstudium im Bereich Bühnen- und Kostümbild oder einem verwandten Fach";"94614";"3435";NA
65;"1518";1;"sonstige";"Wo fischen Sie?";"Wo haben Sie gefischt?";"";"";"";"";""
66;"1518";1;"";"";"";"1";"In der Hochsee";"11422";"6223";NA
67;"1518";1;"";"";"";"2";"In Binnengewässern oder an der Küste";"11422";"6222";NA
68;"1519";1;"aufsicht";"Ist ein wesentlicher Bestandteil ihrer Arbeit, andere Arbeitnehmer zu beaufsichtigen oder als Führungskraft strategische Entscheidungen für das Unternehmen zu treffen?";"War ein wesentlicher Bestandteil ihrer Arbeit, andere Arbeitnehmer zu beaufsichtigen oder als Führungskraft strategische Entscheidungen für das Unternehmen zu treffen?";"";"";"";"";""
69;"1519";1;"";"";"";"1";"weder Führungs- noch Ausichtstätigkeit";"11412";"6221";NA
70;"1519";1;"";"";"";"2";"Aufsichtstätigkeit mit Verantwortung für untergeordnetes Personal";"11493";"6221";NA
